index,uuid,num_achievements,num_exercises,num_points,Click,Group,Button,Banner
3270,982151089,0,0,0,0,A,No,No
3280,982213513,0,0,0,0,A,No,No
3297,961915864,0,0,0,0,A,No,No
3307,1117141677,0,0,0,0,A,No,No
3308,1117162981,0,0,0,0,A,No,No
3317,1117133389,0,0,0,0,A,No,No
3322,1117124437,0,0,0,0,A,No,No
3346,1117216629,0,0,0,0,A,No,No
3354,1117197285,0,0,0,0,A,No,No
3358,1117209549,0,0,0,0,A,No,No
3372,1117265781,0,0,0,0,A,No,No
3382,1117254957,0,0,0,0,A,No,No
3389,1097652236,0,0,0,1,A,No,No
3390,1097687164,0,0,0,0,A,No,No
3391,1097652348,0,0,0,0,A,No,No
3403,1117154589,0,0,0,0,A,No,No
3410,1117167477,0,0,0,0,A,No,No
3417,1117190653,0,0,0,0,A,No,No
3439,1117235397,0,0,0,0,A,No,No
3441,1117201877,0,0,0,0,A,No,No
3476,1117132013,0,0,0,0,A,No,No
3483,1117143797,0,0,0,0,A,No,No
3508,1117218413,0,0,0,0,A,No,No
3509,1117241693,0,0,0,0,A,No,No
3515,1117221373,0,0,0,0,A,No,No
3519,1117210637,0,0,0,0,A,No,No
3530,1117151613,0,0,0,0,A,No,No
3538,1117142653,0,0,0,0,A,No,No
3544,1117143789,0,0,0,0,A,No,No
3559,1117173941,0,0,0,0,A,No,No
3571,1117193381,0,0,0,0,A,No,No
3581,1117244421,0,0,0,0,A,No,No
3594,1117237901,0,0,0,0,A,No,No
3596,1117265661,0,0,0,0,A,No,No
3597,1117270661,0,0,0,0,A,No,No
3609,1097687060,0,0,0,0,A,No,No
3610,1097640572,0,0,0,0,A,No,No
3632,1097700820,0,0,0,0,A,No,No
3637,1097726748,0,0,0,0,A,No,No
3662,961756632,0,0,0,0,A,No,No
3669,961835400,0,0,0,0,A,No,No
3672,982125977,0,0,0,0,A,No,No
3675,1117135349,0,0,0,0,A,No,No
3701,1117244069,0,0,0,0,A,No,No
3720,1097686996,0,0,0,0,A,No,No
3728,1097678292,0,0,0,0,A,No,No
3738,1097694988,0,0,0,0,A,No,No
3742,1097713724,0,0,0,0,A,No,No
3746,1097702620,0,0,0,0,A,No,No
3767,1097682100,0,0,0,0,A,No,No
3769,1097670644,0,0,0,0,A,No,No
3775,1097728860,0,0,0,0,A,No,No
3789,1117305501,0,0,0,0,A,No,No
3798,1117338565,0,0,0,1,A,No,No
3804,961714992,0,0,0,0,A,No,No
3811,961744720,0,0,0,0,A,No,No
3823,982131105,0,0,0,0,A,No,No
3847,961916816,0,0,0,0,A,No,No
3849,961931016,0,0,0,0,A,No,No
3854,962031840,0,0,0,0,A,No,No
3855,962009256,0,0,0,0,A,No,No
3856,961986608,0,0,0,0,A,No,No
3875,962114136,0,0,0,0,A,No,No
3891,962028032,0,0,0,0,A,No,No
3893,962040184,0,0,0,0,A,No,No
3898,962104912,0,0,0,0,A,No,No
3914,962206568,0,0,0,0,A,No,No
3915,962239840,0,0,0,0,A,No,No
3920,962241464,0,0,0,0,A,No,No
3924,962236064,0,0,0,0,A,No,No
3936,962283048,0,0,0,0,A,No,No
3937,962273848,0,0,0,0,A,No,No
3940,962254648,0,0,0,0,A,No,No
3943,962285000,0,0,0,0,A,No,No
3944,962285528,0,0,0,0,A,No,No
3949,962279680,0,0,0,0,A,No,No
3951,982267681,0,0,0,0,A,No,No
3955,982296033,0,0,0,0,A,No,No
3962,982310721,0,0,0,0,A,No,No
3963,982299705,0,0,0,0,A,No,No
3990,1097721684,0,0,0,0,A,No,No
3993,1097710820,0,0,0,0,A,No,No
4023,961756872,0,0,0,0,A,No,No
4024,961782624,0,0,0,0,A,No,No
4036,982129241,0,0,0,0,A,No,No
4040,982224465,0,0,0,0,A,No,No
4047,982242729,0,0,0,0,A,No,No
4062,961949344,0,0,0,0,A,No,No
4064,961930896,0,0,0,0,A,No,No
4073,962056200,0,0,0,0,A,No,No
4082,1097678164,0,0,0,0,A,No,No
4106,1117293341,0,0,0,0,A,No,No
4110,1117345941,0,0,0,0,A,No,No
4118,961707192,0,0,0,0,A,No,No
4142,982175585,0,0,0,0,A,No,No
4144,982202433,0,0,0,0,A,No,No
4145,982227225,0,0,0,0,A,No,No
4147,1117201109,0,0,0,0,A,No,No
4148,1117236109,0,0,0,0,A,No,No
4154,1117251805,0,0,0,0,A,No,No
4169,1097674100,0,0,0,0,A,No,No
4174,1097652020,0,0,0,0,A,No,No
4197,1097712804,0,0,0,0,A,No,No
4204,1097723964,0,0,0,0,A,No,No
4205,1097701260,0,0,0,0,A,No,No
4214,1117313053,0,0,0,1,A,No,No
4217,1117280341,0,0,0,0,A,No,No
4245,961808464,0,0,0,0,A,No,No
4252,982161777,0,0,0,0,A,No,No
4256,982131841,0,0,0,0,A,No,No
4258,1117268269,0,0,0,0,A,No,No
4276,1097667908,0,0,0,0,A,No,No
4280,1097680164,0,0,0,0,A,No,No
4303,1117373021,0,0,0,0,A,No,No
4308,1117340517,0,0,0,0,A,No,No
4311,1117363237,0,0,0,0,A,No,No
4321,961743944,0,0,0,0,A,No,No
4349,962030600,0,0,0,0,A,No,No
4351,962077040,0,0,0,0,A,No,No
4387,962218160,0,0,0,0,A,No,No
4391,962219872,0,0,0,0,A,No,No
4393,962235760,0,0,0,0,A,No,No
4409,961798160,0,0,0,0,A,No,No
4418,982171505,0,0,0,0,A,No,No
4427,982214817,0,0,0,0,A,No,No
4428,982193409,0,0,0,0,A,No,No
4464,962127760,0,0,0,0,A,No,No
4471,962174848,0,0,0,0,A,No,No
4494,962142120,0,0,0,0,A,No,No
4501,962219112,0,0,0,0,A,No,No
4504,962230560,0,0,0,0,A,No,No
4514,962273720,0,0,0,0,A,No,No
4515,962254120,0,0,0,0,A,No,No
4517,962283056,0,0,0,0,A,No,No
4520,962263984,0,0,0,0,A,No,No
4525,962279872,0,0,0,0,A,No,No
4530,982296249,0,0,0,0,A,No,No
4532,982297561,0,0,0,0,A,No,No
4533,982276377,0,0,0,0,A,No,No
4538,982300729,0,0,0,0,A,No,No
4543,982314249,0,0,0,0,A,No,No
4547,982330609,0,0,0,0,A,No,No
4548,982319329,0,0,0,0,A,No,No
4549,982354697,0,0,0,0,A,No,No
4552,982377465,0,0,0,0,A,No,No
4554,982378033,0,0,0,0,A,No,No
4556,982356441,0,0,0,0,A,No,No
4567,982357169,0,0,0,0,A,No,No
4571,982381929,0,0,0,0,A,No,No
4586,982375473,0,0,0,0,A,No,No
4589,982387297,0,0,0,0,A,No,No
4610,982438865,0,0,0,0,A,No,No
4621,1097744292,0,0,0,0,A,No,No
4623,1097737452,0,0,0,0,A,No,No
4626,1097746828,0,0,0,0,A,No,No
4654,962124728,0,0,0,0,A,No,No
4658,962119672,0,0,0,0,A,No,No
4660,962128328,0,0,0,0,A,No,No
4680,962236080,0,0,0,1,A,No,No
4691,962282288,0,0,0,0,A,No,No
4694,962283064,0,0,0,0,A,No,No
4715,982281577,0,0,0,0,A,No,No
4742,961965680,0,0,0,0,A,No,No
4773,962181464,0,0,0,0,A,No,No
4778,962238424,0,0,0,0,A,No,No
4779,962206432,0,0,0,0,A,No,No
4781,962217008,0,0,0,0,A,No,No
4785,962210544,0,0,0,0,A,No,No
4804,962283184,0,0,0,0,A,No,No
4807,962274192,0,0,0,0,A,No,No
4812,982167361,0,0,0,0,A,No,No
4817,982224969,0,0,0,0,A,No,No
4823,982248569,0,0,0,0,A,No,No
4827,961850352,0,0,0,0,A,No,No
4842,962024768,0,0,0,0,A,No,No
4848,962084392,0,0,0,0,A,No,No
4867,962180656,0,0,0,0,A,No,No
4875,962218712,0,0,0,0,A,No,No
4876,962218960,0,0,0,0,A,No,No
4890,962282632,0,0,0,0,A,No,No
4892,962254376,0,0,0,0,A,No,No
4893,962274112,0,0,0,0,A,No,No
4895,962265232,0,0,0,0,A,No,No
4902,961835208,0,0,0,0,A,No,No
4905,961842256,0,0,0,0,A,No,No
4908,982172289,0,0,0,0,A,No,No
4911,982178673,0,0,0,0,A,No,No
4916,982246585,0,0,0,0,A,No,No
4918,982249225,0,0,0,1,A,No,No
4940,962016048,0,0,0,0,A,No,No
4943,962094040,0,0,0,0,A,No,No
4948,962105032,0,0,0,0,A,No,No
4965,962217120,0,0,0,0,A,No,No
4966,962197368,0,0,0,0,A,No,No
4970,962209136,0,0,0,0,A,No,No
4972,962199960,0,0,0,0,A,No,No
4974,962244216,0,0,0,0,A,No,No
4985,962282720,0,0,0,0,A,No,No
4986,962263432,0,0,0,0,A,No,No
4987,962253776,0,0,0,0,A,No,No
4990,962275248,0,0,0,1,A,No,No
5000,982266793,0,0,0,0,A,No,No
5002,982268913,0,0,0,0,A,No,No
5008,982321681,0,0,0,0,A,No,No
5012,982277353,0,0,0,0,A,No,No
5015,962254872,0,0,0,0,A,No,No
5017,962256936,0,0,0,0,A,No,No
5019,962259504,0,0,0,0,A,No,No
5021,962260176,0,0,0,0,A,No,No
5023,982264913,0,0,0,0,A,No,No
5029,982269457,0,0,0,0,A,No,No
5030,982269513,0,0,0,0,A,No,No
5032,982285353,0,0,0,0,A,No,No
5042,982280641,0,0,0,0,A,No,No
5056,982358425,0,0,0,0,A,No,No
5080,982430369,0,0,0,0,A,No,No
5081,982409705,0,0,0,0,A,No,No
5095,982417377,0,0,0,0,A,No,No
5113,962278808,0,0,0,0,A,No,No
5133,982303273,0,0,0,0,A,No,No
5134,982315417,0,0,0,0,A,No,No
5137,982317273,0,0,0,0,A,No,No
5139,982305849,0,0,0,0,A,No,No
5140,982317961,0,0,0,0,A,No,No
5146,982330953,0,0,0,0,A,No,No
5148,982367561,0,0,0,0,A,No,No
5149,982344769,0,0,0,0,A,No,No
5163,982373841,0,0,0,0,A,No,No
5173,982411033,0,0,0,0,A,No,No
5178,982391801,0,0,0,0,A,No,No
5182,982392825,0,0,0,0,A,No,No
5192,982374537,0,0,0,0,A,No,No
5210,982437481,0,0,0,0,A,No,No
5211,982416609,0,0,0,0,A,No,No
5213,982416993,0,0,0,1,A,No,No
5223,982447097,0,0,0,0,A,No,No
5237,1097770076,0,0,0,0,A,No,No
5239,1097781468,0,0,0,0,A,No,No
5247,1097793492,0,0,0,0,A,No,No
5261,1097830404,0,0,0,0,A,No,No
5264,1097840468,0,0,0,0,A,No,No
5270,1097822148,0,0,0,0,A,No,No
5281,1097785052,0,0,0,0,A,No,No
5284,1097754372,0,0,0,0,A,No,No
5293,1097768028,0,0,0,0,A,No,No
5294,1097778588,0,0,0,0,A,No,No
5302,1097811708,0,0,0,0,A,No,No
5307,1097832028,0,0,0,0,A,No,No
5309,1097832452,0,0,0,0,A,No,No
5311,1097813924,0,0,0,0,A,No,No
5314,1097804308,0,0,0,0,A,No,No
5315,1097843876,0,0,0,0,A,No,No
5316,1097843916,0,0,0,1,A,No,No
